Product,Business Location,Unit Purchase Price,Selling Price,Current stock,Product Type,Category,Brand,Tax,SKU
5625 Vinny,,"KSh 1,200","KSh 1,250",-5 pieces,Single,FEATURE PHONES,,,24915
5625 Ystel,BEST PRICE SHOP,"KSh 1,200","KSh 1,250",4 pieces,Single,FEATURE PHONES,YSTEL,,18175
5626 Copy,BEST PRICE SHOP,"KSh 1,160","KSh 1,250",44 pieces,Single,,,,18102
5626 Itel,BEST PRICE SHOP,"KSh 2,450","KSh 2,500",0 pieces,Single,FEATURE PHONES,ITEL,,17182
5626 Itel Original,CARLCARE,"KSh 2,470","KSh 2,670",1 pieces,Single,FEATURE PHONES,ITEL,,23061
5626 Ystel,BEST PRICE SHOP,"KSh 1,200","KSh 1,250",1 pieces,Single,FEATURE PHONES,YSTEL,,18176
5627 Pro Luxus,BEST PRICE SHOP,"KSh 1,150","KSh 1,200",0 pieces,Single,FEATURE PHONES,LUXUS,,23383
5C Aldeepo.,BEST PRICE SHOP,KSh 110,KSh 140,"18,165 pieces",Single,PHONE BATTERIES,ADEEPO,,18687
5C Calus/Samhe Baterry.,BEST PRICE SHOP,KSh 85,KSh 100,0 pieces,Single,PHONE BATTERIES,CALUS,,18603
5C Discovery Battery,BEST PRICE SHOP,KSh 350,KSh 450,238 pieces,Single,PHONE BATTERIES,DISCOVERY,,24160
5C Excellent Battery,BEST PRICE SHOP,KSh 240,KSh 300,0 pieces,Single,,,,17355
5c Itel Copy,BEST PRICE SHOP,KSh 48,KSh 60,"3,166 pieces",Single,ACCESSORIES,ITEL COPY,,17004
5C Itel No 2,BEST PRICE SHOP,KSh 105,KSh 120,0 pieces,Single,ACCESSORIES,,,18794
5c Itel Original Battery,BEST PRICE SHOP,KSh 123,KSh 150,"2,650 pieces",Single,PHONE BATTERIES,ITEL,,16944
5c Itel Paper Copy,BEST PRICE SHOP,KSh 38,KSh 45,"2,498 pieces",Single,PHONE BATTERIES,ITEL,,18336
5c Kgtel,BEST PRICE SHOP,KSh 110,KSh 140,0 pieces,Single,,,,16912
5C Naked Battery,BEST PRICE SHOP,KSh 0,KSh 140,0 pieces,Single,,,,17078
5C Oraimo Copy,BEST PRICE SHOP,KSh 52,KSh 60,545 pieces,Single,,,,18505
5C Oraimo Original.,BEST PRICE SHOP,KSh 118,KSh 140,"4,020 pieces",Single,PHONE BATTERIES,ORAIMO,,18545
5c Premium,BEST PRICE SHOP,KSh 110,KSh 140,"4,019 pieces",Single,,,,18173
5c Premium Copy.,BEST PRICE SHOP,KSh 48,KSh 60,"1,720 pieces",Single,,,,18198
5c Tecno Battery Original,BEST PRICE SHOP,KSh 100,KSh 120,"2,709 pieces",Single,FEATURE PHONES,,,17163
5C Tecno Copy.,BEST PRICE SHOP,KSh 48,KSh 60,"8,267 pieces",Single,ACCESSORIES,ITEL COPY,,18073
5C Tecno Paper Copy,BEST PRICE SHOP,KSh 38,KSh 45,100 pieces,Single,PHONE BATTERIES,TECNO,,21813
5C Venus Battery,BEST PRICE SHOP,KSh 115,KSh 140,0 pieces,Single,,,,18072
5c Villaon Copy.,BEST PRICE SHOP,KSh 48,KSh 60,"3,859 pieces",Single,,,,18042
5C Villaon Original Battery,BEST PRICE SHOP,KSh 110,KSh 140,"1,653 pieces",Single,PHONE BATTERIES,VILLAON,,16943
5c Villaontel.,BEST PRICE SHOP,KSh 135,KSh 150,2 pieces,Single,,,,18609
5G+ Charger,BEST PRICE SHOP,KSh 105,KSh 130,1 pieces,Single,,,,17415
5w Ailyons,BEST PRICE SHOP,KSh 39,KSh 41,180 pieces,Single,BULBS,AILYONS,,27733
5w Highlight.,BEST PRICE SHOP,KSh 60,KSh 60,-101 pieces,Single,,,,18682
5W Itel Charger,BEST PRICE SHOP,KSh 166,KSh 200,119 pieces,Single,CHARGERS,ITEL,,24533
5W Lyons.,BEST PRICE SHOP,KSh 39,KSh 80,"7,185 pieces",Single,,AILYONS,,16909
5W Sundabest,BEST PRICE SHOP,KSh 48,KSh 55,630 pieces,Single,BULBS,SUNDABEST,,17764
5way Powerking Extension,BEST PRICE SHOP,KSh 215,KSh 250,118 pieces,Single,,,,17062
600 Smba,BEST PRICE SHOP,KSh 800,KSh 850,-3 pieces,Single,FEATURE PHONES,SMBA,,25524
608 Amtec Woofer,BEST PRICE SHOP,"KSh 3,400","KSh 3,650",0 pieces,Single,,,,17670
60W Floodlight Solarmax,BEST PRICE SHOP,"KSh 2,100","KSh 2,400",-9 pieces,Single,FLOODLIGHT,SOLARMAX,,24269
60W Solarmax Solar,BEST PRICE SHOP,"KSh 1,980","KSh 2,160",1 pieces,Single,,,,17317
60W Solic Solar,BEST PRICE SHOP,"KSh 2,130","KSh 2,400",0 pieces,Single,,,,17220
60W Sunnypex Solar,BEST PRICE SHOP,"KSh 2,400","KSh 2,580",2 pieces,Single,,,,17951
60Watts Solar Streetlight Jin Wu,BEST PRICE SHOP,"KSh 2,600","KSh 4,000",14 pieces,Single,SOLARS,,,21474
6101 Charger,BEST PRICE SHOP,KSh 0,KSh 60,0 pieces,Single,,,,17673
6110 H Mobile,BEST PRICE SHOP,KSh 900,KSh 930,32 pieces,Single,FEATURE PHONES,H MOBILE,,18396
6200 Max Not for selling,BEST PRICE SHOP,"KSh 1,150","KSh 1,200",492 pieces,Single,,,,18287
6300 Iyou,BEST PRICE SHOP,KSh 800,KSh 850,-8 pieces,Single,FEATURE PHONES,,,28017
6310 Nokia,BEST PRICE SHOP,"KSh 3,500","KSh 3,700",1 pieces,Single,,,,17984
6350 Itel.,BEST PRICE SHOP,"KSh 2,150","KSh 2,350",0 pieces,Single,,,,17166
6360 Itel.,BEST PRICE SHOP,"KSh 3,000","KSh 3,100",0 pieces,Single,FEATURE PHONES,,,19078
64gb Flash Advance,BEST PRICE SHOP,KSh 500,KSh 550,17 pieces,Single,FLASH,ADVANCE,,17170
64Gb Flash Boost,BEST PRICE SHOP,KSh 500,KSh 550,19 pieces,Single,FLASH,BOOST,,18021
64Gb Flash Calus,BEST PRICE SHOP,KSh 310,KSh 350,26 pieces,Single,FLASH,CALUS,,18517
64Gb flash Galactic Otg Type B,BEST PRICE SHOP,KSh 550,KSh 600,15 pieces,Single,FLASH,GALACTIC,,29397
64Gb Flash Galactic Otg Type C,BEST PRICE SHOP,KSh 550,KSh 600,15 pieces,Single,FLASH,GALACTIC,,29396
64Gb Flash Hp,BEST PRICE SHOP,KSh 500,KSh 550,10 pieces,Single,FLASH,HP,,27730
64Gb Flash Toshiba,BEST PRICE SHOP,KSh 600,KSh 650,16 pieces,Single,,,,17301
64Gb Mem Boost,BEST PRICE SHOP,KSh 500,KSh 550,10 pieces,Single,MEMORY,BOOST,,27705
64Gb Mem Galactic,BEST PRICE SHOP,KSh 600,KSh 700,0 pieces,Single,MEMORY,GALACTIC,,17587
64Gb Toshiba Flash,BEST PRICE SHOP,KSh 600,KSh 650,10 pieces,Single,,,,17926
64Gb Vicom Flash,BEST PRICE SHOP,KSh 600,KSh 650,3 pieces,Single,,,,17640
65 Hisence Vida,BEST PRICE SHOP,"KSh 80,000","KSh 83,000",0 pieces,Single,,,,17418
65 Samsung AU8000,BEST PRICE SHOP,"KSh 103,000","KSh 113,500",0 pieces,Single,,,,17217
65 Samsung Bu8000,BEST PRICE SHOP,"KSh 112,000","KSh 115,000",0 pieces,Single,,,,16887
65 Samsung Tu8300,BEST PRICE SHOP,KSh 0,"KSh 107,000",0 pieces,Single,,,,17174
65 Sony,BEST PRICE SHOP,"KSh 99,000","KSh 102,000",0 pieces,Single,,,,17443
65 Vitrone,BEST PRICE SHOP,"KSh 60,000","KSh 62,000",1 pieces,Single,TELEVISION,VITRONE,,18119
65LG 65UP77,BEST PRICE SHOP,"KSh 102,000","KSh 105,000",0 pieces,Single,,,,17283
661,BEST PRICE SHOP,KSh 0,"KSh 1,400",0 pieces,Single,,,,17859
6Ah Mf Motor Cycle Bat,BEST PRICE SHOP,"KSh 1,566","KSh 1,700",20 pieces,Single,,,,18652
6Way Lyons,BEST PRICE SHOP,KSh 205,KSh 300,492 pieces,Single,,,,17378
6way Powerking,BEST PRICE SHOP,KSh 245,KSh 290,261 pieces,Single,EXTENSIONS,POWERKING,,17648
700 Smba,BEST PRICE SHOP,KSh 800,KSh 850,0 pieces,Single,FEATURE PHONES,SMBA,,25525
7000+ Bontale.,BEST PRICE SHOP,"KSh 1,300","KSh 1,350",1 pieces,Single,,,,18085
7000MAH Galactic Powerbank,BEST PRICE SHOP,KSh 650,KSh 700,98 pieces,Single,POWERBANKS,GALACTIC,,29398
7010 Iyou.,BEST PRICE SHOP,KSh 950,"KSh 1,000",10 pieces,Single,,,,18496
706 Nemojo,BEST PRICE SHOP,KSh 750,KSh 780,0 pieces,Single,,,,18291
7100Pro Samhe,BEST PRICE SHOP,"KSh 1,300","KSh 1,350",1 pieces,Single,FEATURE PHONES,SAMHE,,22916
7105 Velmax,BEST PRICE SHOP,"KSh 1,650","KSh 1,900",3 pieces,Single,,,,17900
7105B Velton,BEST PRICE SHOP,"KSh 1,690","KSh 1,900",0 pieces,Single,,,,17902
712 Oking,BEST PRICE SHOP,KSh 0,KSh 930,0 pieces,Single,,,,17750
7200Pro Samhe,BEST PRICE SHOP,"KSh 1,300","KSh 1,350",1 pieces,Single,FEATURE PHONES,SAMHE,,22918
7300Pro Samhe,BEST PRICE SHOP,"KSh 1,300","KSh 1,350",2 pieces,Single,FEATURE PHONES,SAMHE,,22919
7350-GS,BEST PRICE SHOP,KSh 780,"KSh 1,150",0 pieces,Single,,,,18071
75 Hisense,BEST PRICE SHOP,"KSh 123,000","KSh 127,000",0 pieces,Single,,,,17535
7500,BEST PRICE SHOP,"KSh 7,120","KSh 7,400",0 pieces,Single,,,,17982
7533 Velton,BEST PRICE SHOP,"KSh 2,500","KSh 2,800",1 pieces,Single,,,,17901
75W Solic Solar,BEST PRICE SHOP,KSh 0,"KSh 2,775",0 pieces,Single,,,,17167
7ah Mf,BEST PRICE SHOP,KSh 490,KSh 650,10 pieces,Single,,,,16918
7W AILyons New,BEST PRICE SHOP,KSh 46,KSh 80,"3,368 pieces",Single,BULBS,AILYONS,,17019
7W Led,BEST PRICE SHOP,KSh 0,KSh 70,65 pieces,Single,,,,17802
7W LYONS,BEST PRICE SHOP,KSh 0,KSh 90,15 pieces,Single,,,,17157
7W Niceone Bulbs,BEST PRICE SHOP,KSh 0,KSh 55,0 pieces,Single,,,,17253
7W Sundabest,BEST PRICE SHOP,KSh 52,KSh 60,477 pieces,Single,BULBS,SUNDABEST,,17763
8017 Kamisafe,BEST PRICE SHOP,"KSh 1,370","KSh 1,500",10 pieces,Single,,,,17520
80W Lyons,BEST PRICE SHOP,"KSh 2,640","KSh 3,440",136 pieces,Single,,,,17100
80W Solic,BEST PRICE SHOP,"KSh 2,758","KSh 2,960",0 pieces,Single,,,,17290
8100 Iyou,BEST PRICE SHOP,KSh 0,"KSh 1,500",9 pieces,Single,,,,17367
815 Vitrone Blender,BEST PRICE SHOP,"KSh 1,500","KSh 1,700",7 pieces,Single,BLENDERS,VITRONE,,23442
8208 Ailipu,BEST PRICE SHOP,"KSh 6,000","KSh 7,000",9 pieces,Single,WOOFERS,AILIPU,,18155
8210+801 Tagwood,BEST PRICE SHOP,"KSh 7,500","KSh 7,800",1 pieces,Single,,,,18109
8231 Taishen,BEST PRICE SHOP,KSh 720,KSh 790,4 pieces,Single,,,,18376
8232 Taishen.,BEST PRICE SHOP,KSh 760,KSh 790,43 pieces,Single,,,,18373
8233 Taishen,BEST PRICE SHOP,KSh 760,KSh 790,7 pieces,Single,,,,18371
8235 Taishen.,BEST PRICE SHOP,KSh 720,KSh 750,11 pieces,Single,,,,18374
8236 Taishen.,BEST PRICE SHOP,KSh 760,KSh 790,0 pieces,Single,,,,18375
8238 Taishen.,BEST PRICE SHOP,KSh 720,KSh 750,0 pieces,Single,FEATURE PHONES,TAISHEN,,18742
8239 Taishen.,BEST PRICE SHOP,KSh 720,KSh 750,1 pieces,Single,,,,18738
8240 Taishen.,BEST PRICE SHOP,KSh 720,KSh 750,0 pieces,Single,FEATURE PHONES,TAISHEN,,18743
8305 Ailipu,BEST PRICE SHOP,"KSh 5,500","KSh 6,700",0 pieces,Single,,,,17527
8521 Tagwood.,BEST PRICE SHOP,"KSh 14,000","KSh 15,000",2 pieces,Single,,,,18621
886 Vitrone Blender,BEST PRICE SHOP,"KSh 1,600","KSh 1,800",6 pieces,Single,BLENDERS,VITRONE,,23443
8Gb Amaya Mem,BEST PRICE SHOP,KSh 0,KSh 250,-1 pieces,Single,,,,17229
8Gb Calus Flash,BEST PRICE SHOP,KSh 205,KSh 250,-121 pieces,Single,FLASH,CALUS,,20729
8Gb Flash Aacend,BEST PRICE SHOP,KSh 280,KSh 310,0 pieces,Single,,,,17107
8gb Flash Advance,BEST PRICE SHOP,KSh 240,KSh 290,0 pieces,Single,FLASH,ADVANCE,,17114
8Gb Flash B/V/A,BEST PRICE SHOP,KSh 260,KSh 300,5 pieces,Single,,,,18318
8Gb Flash Boost,BEST PRICE SHOP,KSh 260,KSh 330,14 pieces,Single,,,,17236
8Gb Flash Calus,BEST PRICE SHOP,KSh 205,KSh 230,0 pieces,Single,,,,18339
8Gb Mem B/M/A,BEST PRICE SHOP,KSh 260,KSh 280,-1 pieces,Single,,,,18314
8Gb Mem Boost,BEST PRICE SHOP,KSh 260,KSh 300,165 pieces,Single,MEMORY,BOOST,,17298
8Gb Mem Galactic,BEST PRICE SHOP,KSh 290,KSh 350,274 pieces,Single,MEMORY,GALACTIC,,17582
8gb Mem Microdigit,BEST PRICE SHOP,KSh 0,KSh 280,0 pieces,Single,,,,17115
8Gb Mem Sandisk,BEST PRICE SHOP,KSh 300,KSh 300,-1 pieces,Single,,,,18232
8gb Mem Vicom,BEST PRICE SHOP,KSh 230,KSh 300,0 pieces,Single,,,,17506
8gb Strontium Mem,BEST PRICE SHOP,KSh 220,KSh 300,-2 pieces,Single,,,,17921
8Gb Tagwood Flash,BEST PRICE SHOP,KSh 0,KSh 300,0 pieces,Single,,,,17139
8Gb Toshiba Flash.,BEST PRICE SHOP,KSh 280,KSh 310,-1 pieces,Single,,,,17923
8gb Transcend Flash,BEST PRICE SHOP,KSh 0,KSh 350,0 pieces,Single,,,,17388
8Gb Vicom Flash,BEST PRICE SHOP,KSh 270,KSh 310,0 pieces,Single,,,,17501
9 in 1 Dc Charger,BEST PRICE SHOP,KSh 0,KSh 130,28 pieces,Single,,,,17435
9000Ah PowerBank Galactic.,BEST PRICE SHOP,"KSh 1,600","KSh 1,800",0 pieces,Single,,,,18193
9028 Ailipu,BEST PRICE SHOP,"KSh 13,800","KSh 16,000",1 pieces,Single,,,,17413
9031 Ailipu,BEST PRICE SHOP,"KSh 16,102","KSh 18,500",1 pieces,Single,SPEAKERS,AILIPU,,17184
9036 Ailipu,BEST PRICE SHOP,"KSh 15,693","KSh 18,000",0 pieces,Single,SPEAKERS,AILIPU,,17920
9038 Ailipu,BEST PRICE SHOP,"KSh 18,333","KSh 21,500",1 pieces,Single,SPEAKERS,AILIPU,,17801
9039 Ailipu,BEST PRICE SHOP,"KSh 16,666","KSh 19,500",2 pieces,Single,SPEAKERS,AILIPU,,17466
9041 Ailipu,BEST PRICE SHOP,"KSh 11,000","KSh 12,000",0 pieces,Single,,,,17528
9043 Ailipu,BEST PRICE SHOP,"KSh 28,755","KSh 32,500",0 pieces,Single,SPEAKERS,AILIPU,,17803
90W Solar,BEST PRICE SHOP,KSh 0,"KSh 3,150",0 pieces,Single,,,,17222
90Watts Street Light Jin Wu,BEST PRICE SHOP,"KSh 3,600","KSh 4,000",15 pieces,Single,SOLARS,,,21475
9310 Urbest,BEST PRICE SHOP,"KSh 1,050","KSh 1,100",18 pieces,Single,FEATURE PHONES,URBEST,,25116
999S Urbest,BEST PRICE SHOP,"KSh 1,020","KSh 1,070",47 pieces,Single,FEATURE PHONES,URBEST,,25118
9W Lyons,BEST PRICE SHOP,KSh 0,KSh 90,90 pieces,Single,,,,17467
9W Nice One,BEST PRICE SHOP,KSh 0,KSh 65,128 pieces,Single,,,,17364
9W Sundabest Bulb,BEST PRICE SHOP,KSh 58,KSh 65,513 pieces,Single,BULBS,SUNDABEST,,18035
A02[64+3]Samsung.,BEST PRICE SHOP,"KSh 12,300","KSh 12,600",0 pieces,Single,SMART PHONES,SAMSUNG,,17652
A02[64+4] Samsung,BEST PRICE SHOP,KSh 0,"KSh 13,600",0 pieces,Single,,,,17406
A03 Core X Uk Samsung,BEST PRICE SHOP,"KSh 8,480","KSh 9,500",18 pieces,Single,,,,18534
A03 Core[32+2] Samsung,BEST PRICE SHOP,"KSh 10,500","KSh 10,800",0 pieces,Single,FEATURE PHONES,SAMSUNG,,17653
A03[32+3] Samsung,BEST PRICE SHOP,"KSh 13,490","KSh 14,000",6 pieces,Single,SMART PHONES,SAMSUNG,,17828
A03{32+3} Single Samsung,BEST PRICE SHOP,"KSh 10,500","KSh 10,800",0 pieces,Single,,,,18421
A03{64+4} Samsung.,BEST PRICE SHOP,"KSh 14,700","KSh 15,000",0 pieces,Single,,,,17961
A03S[64+4] Samsung,BEST PRICE SHOP,"KSh 14,760","KSh 15,100",0 pieces,Single,,,,17516
A03S{32+3}Samsung,BEST PRICE SHOP,"KSh 13,200","KSh 13,500",1 pieces,Single,SMART PHONES,SAMSUNG,,17884
A04 {64+4} Samsung.,BEST PRICE SHOP,"KSh 14,500","KSh 14,800",1 pieces,Single,SMART PHONES,SAMSUNG,,18387
A04 32/2 Itel.,BEST PRICE SHOP,"KSh 7,400","KSh 7,800",1 pieces,Single,SMART PHONES,ITEL,,18504
A04{32+3} Samsung.,BEST PRICE SHOP,"KSh 12,500","KSh 13,200",1 pieces,Single,SMART PHONES,SAMSUNG,,18386
A04E {128+4} Samsung.,BEST PRICE SHOP,"KSh 15,790","KSh 18,000",0 pieces,Single,SMART PHONES,SAMSUNG,,18561
A04E {32+3} Samsung.,BEST PRICE SHOP,"KSh 11,900","KSh 12,200",0 pieces,Single,FEATURE PHONES,SAMSUNG,,18559
A04E 64/3 Samsung,BEST PRICE SHOP,"KSh 12,850","KSh 13,250",0 pieces,Single,FEATURE PHONES,SAMSUNG,,24620
A04e{32+2} Samsung,BEST PRICE SHOP,"KSh 11,100","KSh 11,300",0 pieces,Single,,,,18322
A04S{128+4} Samsung,BEST PRICE SHOP,"KSh 18,000","KSh 18,400",0 pieces,Single,FEATURE PHONES,SAMSUNG,,18126
A04S{32+3} Samsung,BEST PRICE SHOP,"KSh 14,700","KSh 15,200",2 pieces,Single,SMART PHONES,SAMSUNG,,18422
A04S{64+4} Samsung.,BEST PRICE SHOP,"KSh 17,000","KSh 17,300",0 pieces,Single,,,,18127
A05S 32/2 Itel,BEST PRICE SHOP,"KSh 8,500","KSh 8,600",39 pieces,Single,SMART PHONES,ITEL,,25164
A1 Acefly,BEST PRICE SHOP,"KSh 1,300","KSh 1,350",0 pieces,Single,,,,18729
A1 Dubymax Woofer,BEST PRICE SHOP,"KSh 3,872","KSh 4,500",16 pieces,Single,WOOFERS,,,17823
A1 Itel Copy.,BEST PRICE SHOP,"KSh 2,280","KSh 3,000",42 pieces,Single,,,,18524
A1+ 32+2 Redmi.,BEST PRICE SHOP,"KSh 9,950","KSh 10,500",7 pieces,Single,,,,18210
A100 Momofly,BEST PRICE SHOP,KSh 750,KSh 790,-6 pieces,Single,FEATURE PHONES,MOMOFLY,,27365
A1000 Calus,BEST PRICE SHOP,KSh 980,"KSh 1,030",0 pieces,Single,,,,18522
A10S {32+2} Samsung,BEST PRICE SHOP,KSh 0,"KSh 12,400",0 pieces,Single,,,,17508
A12[128+4] Samsung,BEST PRICE SHOP,"KSh 17,450","KSh 18,000",0 pieces,Single,FEATURE PHONES,SAMSUNG,,17517
A12[64+4] Samsung,BEST PRICE SHOP,"KSh 17,000","KSh 17,400",0 pieces,Single,,,,17518
A13[128+4} Samsung,BEST PRICE SHOP,"KSh 20,100","KSh 20,500",0 pieces,Single,,,,17876
A13{64+4}Samsung,BEST PRICE SHOP,"KSh 19,600","KSh 20,000",1 pieces,Single,,,,17850
A14 Itel [16+512],BEST PRICE SHOP,"KSh 2,800","KSh 3,000",1 pieces,Single,,,,18097
A14 Plus,BEST PRICE SHOP,"KSh 4,250","KSh 4,300",6 pieces,Single,,,,17133
A14 Pro Oking,BEST PRICE SHOP,"KSh 1,580","KSh 1,650",0 pieces,Single,,,,18494
A14{128+4} Samsung,BEST PRICE SHOP,"KSh 19,500","KSh 19,800",-1 pieces,Single,FEATURE PHONES,SAMSUNG,,18498
A14{64+4} Samsung,BEST PRICE SHOP,"KSh 20,700","KSh 19,000",0 pieces,Single,FEATURE PHONES,SAMSUNG,,18499
A15 Pro Kgtel,BEST PRICE SHOP,"KSh 6,500","KSh 6,700",1 pieces,Single,FEATURE PHONES,KGTEL,,24916
A16+ Itel,BEST PRICE SHOP,"KSh 4,550","KSh 4,600",0 pieces,Single,,,,17048
A16K 32+3 Oppo,BEST PRICE SHOP,"KSh 14,600","KSh 15,000",0 pieces,Single,,,,17827
A16K[64+4] Oppo,BEST PRICE SHOP,"KSh 17,700","KSh 18,200",0 pieces,Single,,,,17623
A17 {64+4} Oppo,BEST PRICE SHOP,"KSh 17,200","KSh 17,700",0 pieces,Single,,,,18549
A17K {64+3} Oppo.,BEST PRICE SHOP,"KSh 14,600","KSh 15,000",0 pieces,Single,,,,18552
A18 128/4 Oppo,BEST PRICE SHOP,"KSh 17,600","KSh 18,000",0 pieces,Single,FEATURE PHONES,OPPO,,25560
A18 32/2 Itel,,"KSh 5,750","KSh 5,800",1 pieces,Single,SMART PHONES,ITEL,,23068
A18 32/2 Itel.,BEST PRICE SHOP,"KSh 5,750","KSh 6,050",42 pieces,Single,SMART PHONES,ITEL,,18171
A18S 32/2 Itel,BEST PRICE SHOP,"KSh 6,400","KSh 6,600",68 pieces,Single,SMART PHONES,ITEL,,27480
A2 Acefly,BEST PRICE SHOP,"KSh 1,350","KSh 1,400",0 pieces,Single,FEATURE PHONES,ACEFLY,,22066
A2 Itel Copy.,BEST PRICE SHOP,"KSh 2,280","KSh 3,000",38 pieces,Single,,,,18525
A2 Sanyi,BEST PRICE SHOP,"KSh 3,872","KSh 4,300",7 pieces,Single,,,,17776
A2+ 64/3 Redmi.,BEST PRICE SHOP,"KSh 11,740","KSh 12,050",0 pieces,Single,FEATURE PHONES,REDMI,,18556
A2010 Acefly,BEST PRICE SHOP,KSh 740,KSh 770,0 pieces,Single,FEATURE PHONES,ACEFLY,,22064
A2160 Acefly.,BEST PRICE SHOP,KSh 740,KSh 770,0 pieces,Single,FEATURE PHONES,ACEFLY,,18670
A2163 Acefly.,BEST PRICE SHOP,KSh 700,KSh 750,0 pieces,Single,,,,18728
A2173 Acefly.,BEST PRICE SHOP,KSh 740,KSh 770,0 pieces,Single,FEATURE PHONES,ACEFLY,,18750
A2175 Acefly,BEST PRICE SHOP,KSh 740,KSh 770,0 pieces,Single,FEATURE PHONES,ACEFLY,,18751
A22 Samsung,BEST PRICE SHOP,"KSh 20,400","KSh 20,800",0 pieces,Single,,,,17702
A2210 Samhe,BEST PRICE SHOP,KSh 830,KSh 870,48 pieces,Single,FEATURE PHONES,SAMHE,,28353
A2220,BEST PRICE SHOP,KSh 830,KSh 870,26 pieces,Single,FEATURE PHONES,SAMHE,,28355
A2230 Samhe,BEST PRICE SHOP,KSh 830,KSh 870,40 pieces,Single,FEATURE PHONES,SAMHE,,28354
A2240 Samhe,BEST PRICE SHOP,KSh 830,KSh 870,22 pieces,Single,FEATURE PHONES,SAMHE,,28356
A225 Bontale.,BEST PRICE SHOP,"KSh 1,500","KSh 1,550",0 pieces,Single,,,,18705
A23[128+4} Samsung,BEST PRICE SHOP,"KSh 26,400","KSh 26,700",0 pieces,Single,,,,17829
A23{64+4} Samsung,BEST PRICE SHOP,"KSh 24,800","KSh 25,300",0 pieces,Single,,,,17830
A23Pro Itel,BEST PRICE SHOP,KSh 0,"KSh 4,100",0 pieces,Single,,,,16946
A24  128/6 Samsung,BEST PRICE SHOP,"KSh 29,500","KSh 30,000",0 pieces,Single,FEATURE PHONES,SAMSUNG,,22524
A24 Calus,BEST PRICE SHOP,"KSh 3,920","KSh 4,200",0 pieces,Single,FEATURE PHONES,CALUS,,21814
A24 Itel,BEST PRICE SHOP,"KSh 3,970","KSh 4,020",0 pieces,Single,,,,17771
A26 Itel,BEST PRICE SHOP,"KSh 6,205","KSh 6,500",0 pieces,Single,,,,18469
A2701 Acefly.,BEST PRICE SHOP,KSh 730,KSh 760,0 pieces,Single,FEATURE PHONES,ACEFLY,,18731
A2702 Acefly.,BEST PRICE SHOP,KSh 730,KSh 760,0 pieces,Single,FEATURE PHONES,ACEFLY,,18732
A2740 Samhe,BEST PRICE SHOP,KSh 820,KSh 850,0 pieces,Single,FEATURE PHONES,SAMHE,,18271
A2760 Samhe,BEST PRICE SHOP,KSh 820,KSh 860,0 pieces,Single,FEATURE PHONES,SAMHE,,18266
A2770 Samhe,BEST PRICE SHOP,KSh 820,KSh 850,0 pieces,Single,FEATURE PHONES,SAMHE,,18270
A2810 Samhe,BEST PRICE SHOP,KSh 800,KSh 840,0 pieces,Single,FEATURE PHONES,SAMHE,,29379
A2840 Samhe.,BEST PRICE SHOP,KSh 820,KSh 860,0 pieces,Single,,,,18734
A2910 Samhe,BEST PRICE SHOP,KSh 800,KSh 840,9 pieces,Single,FEATURE PHONES,SAMHE,,27563
A2920 Calus,BEST PRICE SHOP,KSh 800,KSh 840,-9 pieces,Single,FEATURE PHONES,CALUS,,25949
A2930 Samhe,BEST PRICE SHOP,KSh 800,KSh 840,0 pieces,Single,FEATURE PHONES,SAMHE,,25950
A3 Dubymax,BEST PRICE SHOP,"KSh 3,880","KSh 4,100",-1 pieces,Single,,,,17773
A3 Itel Copy.,BEST PRICE SHOP,"KSh 2,280","KSh 3,000",19 pieces,Single,,,,18526
A300 Momofly,BEST PRICE SHOP,KSh 750,KSh 790,6 pieces,Single,FEATURE PHONES,MOMOFLY,,27366
A307 Cherry.,BEST PRICE SHOP,KSh 740,KSh 770,0 pieces,Single,,,,18617
A310 Cherry,BEST PRICE SHOP,KSh 820,KSh 850,0 pieces,Single,,,,18627
A32[128+6] Samsung.,BEST PRICE SHOP,"KSh 28,500","KSh 29,000",0 pieces,Single,,,,17654
A33 32/1 Itel,CARLCARE,"KSh 6,600","KSh 7,100",1 pieces,Single,FEATURE PHONES,ITEL,,23065
A33 Plus{16+1} Itel Not for selling,BEST PRICE SHOP,"KSh 4,850","KSh 5,000",3 pieces,Single,,,,18433
A33 Plus{32+1} Itel,BEST PRICE SHOP,"KSh 6,600","KSh 6,700",36 pieces,Single,,,,17430
A33{128+6} Samsung,BEST PRICE SHOP,"KSh 32,800","KSh 33,500",0 pieces,Single,,,,17877
A331 Tri Cherry,BEST PRICE SHOP,KSh 800,KSh 830,0 pieces,Single,FEATURE PHONES,CHERRY,,22070
A333 Cherry.,BEST PRICE SHOP,"KSh 1,150","KSh 1,200",0 pieces,Single,,,,18625
A34 {128+6} Samsung.,BEST PRICE SHOP,"KSh 37,000","KSh 39,000",1 pieces,Single,FEATURE PHONES,SAMSUNG,,18560
A35 Itel.,BEST PRICE SHOP,"KSh 4,950","KSh 5,000",0 pieces,Single,,,,16911
A36,BEST PRICE SHOP,"KSh 5,150","KSh 5,350",0 pieces,Single,,,,17134
A365 Acefly,BEST PRICE SHOP,KSh 780,KSh 830,0 pieces,Single,FEATURE PHONES,ACEFLY,,18675
A366 Acefly,BEST PRICE SHOP,KSh 780,KSh 830,0 pieces,Single,FEATURE PHONES,ACEFLY,,18667
